"Source:","/Users/chiqlo/Documents/KiCad/VDP/rev1/VDP.sch"
"Date:","2024 March 08, Friday 11:28:11"
"Tool:","Eeschema 4.0.7"
"Generator:","/private/var/folders/9t/_nlfqzfj2vb908k708m4rmq00000gn/T/AppTranslocation/BEF8FEF7-5F2D-47EC-999F-61B4FB5A40DD/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","28"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C2, C1, ","2","22p","C","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor",""
"C3, ","1","0.1u","C_Small","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor",""
"C4, C5, C6, C7, ","4","0.01u","C_Small","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor",""
"CP2, ","1","470u","CP_Small","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm","Polarised capacitor",""
"CP4, CP1, ","2","10u","CP_Small","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm","Polarised capacitor",""
"J1, ","1","PC-8001mk2 BUS","Conn_02x36_Odd_Even","library:PC88_72_ODD_EVEN","Generic connector, double row, 02x36, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",""
"J2, ","1","RJ-2410N/Y","Conn_Coaxial","library:RJ-2410N","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",""
"L1, ","1","BL01RN1A1D2","Ferrite_Bead_Small","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Ferrite bead, small symbol",""
"Q1, ","1","2SC1815","2SC1815","TO_SOT_Packages_THT:TO-92_Inline_Wide","50V Vce, 0.15A Ic, Low Noise Audio NPN Transistor, TO-92",""
"R1, ","1","0","R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"R2, ","1","1k","R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"R3, ","1","180","R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"R4, ","1","470","R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"R5, ","1","2k","R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"U1, ","1","TMS9918","TMS9918","Housings_DIP:DIP-40_W15.24mm_Socket","",""
"U2, ","1","HM62256BLSP-7","HM62256BLSP-7","Housings_DIP:DIP-28_W15.24mm_Socket","SRAM 32K x  8 bits, DIP28 300mil, 70ns",""
"U3, U4, U5, ","3","74LS574","74LS574","Housings_DIP:DIP-20_W7.62mm_Socket","8 bits Register, 3 state Out",""
"U6, ","1","74LS04","74LS04","Housings_DIP:DIP-14_W7.62mm_Socket","Hex Inverseur",""
"U7, ","1","74LS139","74LS139","Housings_DIP:DIP-16_W7.62mm_Socket","Dual Decoder 1 of 4, Active low outputs",""
"U8, ","1","74LS32","74LS32","Housings_DIP:DIP-14_W7.62mm_Socket","Quad Or 2 inputs",""
"Y1, ","1","10.73864MHz","Crystal","Crystals:Crystal_HC49-4H_Vertical","Two pin crystal",""
